"chr_chia_anchor1","start_chia_anchor1","end_chia_anchor1","name","Chr_CC_anchor1","Start_CC_anchor1","End_CC_anchor1","Replicate","chr_chia_anchor2","start_chia_anchor2","end_chia_anchor2","Chr_CC_anchor2","Start_CC_anchor2","End_CC_anchor2"
"chr10",43778428,44173751,"chr10:44273876..44274692-chr10:44668633..44669199,2","chr10",44172768,44174190,"basic_Chia_ChiapetRep1_peak_data_ER_WT2.txt","chr10",43778428,44173751,"chr10",44172768,44174190
"chr10",43778428,44173878,"chr10:44273876..44274692-chr10:44668633..44669326,3","chr10",44172768,44174190,"basic_Chia_ChiapetRep2_peak_data_ER_WT2.txt","chr10",43778428,44173878,"chr10",44172768,44174190
"chr10",43853948,44174170,"chr10:44349396..44350216-chr10:44669102..44669618,2","chr10",44172768,44174190,"basic_Chia_ChiapetRep3_peak_data_ER_WT2.txt","chr10",43853948,44174170,"chr10",44172768,44174190
"chr10",44172931,44237512,"chr10:44668379..44669722-chr10:44731795..44732960,38","chr10",44172768,44174190,"basic_Chia_ChiapetRep3_peak_data_ER_WT2.txt","chr10",44172931,44237512,"chr10",44172768,44174190
"chr10",44172954,44237571,"chr10:44668402..44669705-chr10:44731998..44733019,55","chr10",44172768,44174190,"basic_Chia_ChiapetRep1_peak_data_ER_WT2.txt","chr10",44172954,44237571,"chr10",44172768,44174190
"chr10",44172954,44237591,"chr10:44668402..44669721-chr10:44731902..44733039,109","chr10",44172768,44174190,"basic_Chia_ChiapetRep2_peak_data_ER_WT2.txt","chr10",44172954,44237591,"chr10",44172768,44174190
"chr10",44173067,44301743,"chr10:44668515..44669612-chr10:44796448..44797191,3","chr10",44172768,44174190,"basic_Chia_ChiapetRep1_peak_data_ER_WT2.txt","chr10",44173067,44301743,"chr10",44172768,44174190
"chr10",44173154,44244579,"chr10:44668602..44669269-chr10:44739464..44740027,2","chr10",44172768,44174190,"basic_Chia_ChiapetRep1_peak_data_ER_WT2.txt","chr10",44173154,44244579,"chr10",44172768,44174190
"chr10",44173154,44244593,"chr10:44668602..44669587-chr10:44739181..44740041,6","chr10",44172768,44174190,"basic_Chia_ChiapetRep2_peak_data_ER_WT2.txt","chr10",44173154,44244593,"chr10",44172768,44174190
"chr10",44173209,44245619,"chr10:44668657..44669664-chr10:44740101..44741067,9","chr10",44172768,44174190,"basic_Chia_ChiapetRep2_peak_data_ER_WT2.txt","chr10",44173209,44245619,"chr10",44172768,44174190
"chr10",44173222,44245619,"chr10:44668670..44669664-chr10:44740182..44741067,4","chr10",44172768,44174190,"basic_Chia_ChiapetRep1_peak_data_ER_WT2.txt","chr10",44173222,44245619,"chr10",44172768,44174190
"chr10",44173274,44385085,"chr10:44668722..44669318-chr10:44880002..44880533,2","chr10",44172768,44174190,"basic_Chia_ChiapetRep1_peak_data_ER_WT2.txt","chr10",44173274,44385085,"chr10",44172768,44174190
"chr10",44173274,44385085,"chr10:44668722..44669318-chr10:44880002..44880533,2","chr10",44172768,44174190,"basic_Chia_ChiapetRep2_peak_data_ER_WT2.txt","chr10",44173274,44385085,"chr10",44172768,44174190
"chr10",44173308,44245541,"chr10:44668756..44669635-chr10:44740165..44740989,3","chr10",44172768,44174190,"basic_Chia_ChiapetRep3_peak_data_ER_WT2.txt","chr10",44173308,44245541,"chr10",44172768,44174190
"chr10",44173325,44311460,"chr10:44668773..44669337-chr10:44805974..44806908,2","chr10",44172768,44174190,"basic_Chia_ChiapetRep3_peak_data_ER_WT2.txt","chr10",44173325,44311460,"chr10",44172768,44174190
"chr10",44173356,44244370,"chr10:44668804..44669627-chr10:44739194..44739818,3","chr10",44172768,44174190,"basic_Chia_ChiapetRep3_peak_data_ER_WT2.txt","chr10",44173356,44244370,"chr10",44172768,44174190
"chr10",44173439,44259387,"chr10:44668887..44669501-chr10:44754335..44754835,2","chr10",44172768,44174190,"basic_Chia_ChiapetRep1_peak_data_ER_WT2.txt","chr10",44173439,44259387,"chr10",44172768,44174190
"chr10",44173439,44259726,"chr10:44668887..44669565-chr10:44754335..44755174,4","chr10",44172768,44174190,"basic_Chia_ChiapetRep2_peak_data_ER_WT2.txt","chr10",44173439,44259726,"chr10",44172768,44174190
"chr10",48814678,63631518,"chr10:50022723..50023301-chr10:65390468..65391278,2","chr10",50172822,50173767,"basic_Chia_ChiapetRep2_peak_data_ER_WT2.txt","chr10",48814678,63631518,"chr10",52435487,52436425
"chr10",63630236,63712980,"chr10:65389996..65391351-chr10:65471495..65472740,57","chr10",63710861,63712191,"basic_Chia_ChiapetRep2_peak_data_ER_WT2.txt","chr10",63630236,63712980,"chr10",63710861,63712191
"chr10",63630278,63713283,"chr10:65390038..65391338-chr10:65471523..65473043,30","chr10",63710861,63712191,"basic_Chia_ChiapetRep1_peak_data_ER_WT2.txt","chr10",63630278,63713283,"chr10",63710861,63712191
"chr10",63630298,63712813,"chr10:65390058..65391340-chr10:65471422..65472573,18","chr10",63710861,63712191,"basic_Chia_ChiapetRep3_peak_data_ER_WT2.txt","chr10",63630298,63712813,"chr10",63710861,63712191
"chr10",63630674,63719931,"chr10:65390434..65391325-chr10:65478789..65479691,2","chr10",63710861,63712191,"basic_Chia_ChiapetRep2_peak_data_ER_WT2.txt","chr10",63630674,63719931,"chr10",63710861,63712191
"chr10",63646285,63712491,"chr10:65406045..65406564-chr10:65471538..65472251,2","chr10",63710861,63712191,"basic_Chia_ChiapetRep1_peak_data_ER_WT2.txt","chr10",63646285,63712491,"chr10",63710861,63712191
"chr10",63646285,63712491,"chr10:65406045..65406564-chr10:65471538..65472251,2","chr10",63710861,63712191,"basic_Chia_ChiapetRep2_peak_data_ER_WT2.txt","chr10",63646285,63712491,"chr10",63710861,63712191
"chr10",63686979,63712375,"chr10:65446739..65447307-chr10:65471625..65472135,2","chr10",63710861,63712191,"basic_Chia_ChiapetRep2_peak_data_ER_WT2.txt","chr10",63686979,63712375,"chr10",63710861,63712191
"chr10",74743014,74822300,"chr10:76502772..76503752-chr10:76581157..76582058,13","chr10",74821746,74823209,"basic_Chia_ChiapetRep2_peak_data_ER_WT2.txt","chr10",74743014,74822300,"chr10",74821746,74823209
"chr10",74743058,74822311,"chr10:76502816..76503752-chr10:76581157..76582069,15","chr10",74821746,74823209,"basic_Chia_ChiapetRep1_peak_data_ER_WT2.txt","chr10",74743058,74822311,"chr10",74821746,74823209
"chr10",74743070,74900519,"chr10:76502828..76503703-chr10:76659375..76660277,2","chr10",74821746,74823209,"basic_Chia_ChiapetRep3_peak_data_ER_WT2.txt","chr10",74743070,74900519,"chr10",74821746,74823209
"chr10",74743078,74902057,"chr10:76502836..76503617-chr10:76660927..76661815,6","chr10",74821746,74823209,"basic_Chia_ChiapetRep2_peak_data_ER_WT2.txt","chr10",74743078,74902057,"chr10",74821746,74823209
"chr10",74743081,74901975,"chr10:76502839..76503751-chr10:76660867..76661733,7","chr10",74821746,74823209,"basic_Chia_ChiapetRep1_peak_data_ER_WT2.txt","chr10",74743081,74901975,"chr10",74821746,74823209
"chr10",74743082,74822404,"chr10:76502840..76503637-chr10:76581189..76582162,5","chr10",74821746,74823209,"basic_Chia_ChiapetRep3_peak_data_ER_WT2.txt","chr10",74743082,74822404,"chr10",74821746,74823209
"chr10",74743110,75063180,"chr10:76502868..76503422-chr10:76822305..76822938,2","chr10",74821746,74823209,"basic_Chia_ChiapetRep2_peak_data_ER_WT2.txt","chr10",74743110,75063180,"chr10",74821746,74823209
"chr10",74743133,74900219,"chr10:76502891..76503666-chr10:76659441..76659977,2","chr10",74821746,74823209,"basic_Chia_ChiapetRep2_peak_data_ER_WT2.txt","chr10",74743133,74900219,"chr10",74821746,74823209
"chr10",74743332,74900183,"chr10:76503090..76503666-chr10:76659387..76659941,2","chr10",74821746,74823209,"basic_Chia_ChiapetRep1_peak_data_ER_WT2.txt","chr10",74743332,74900183,"chr10",74821746,74823209
"chr10",7868129,8726603,"chr10:7910092..7910769-chr10:8768046..8768566,2","chr10",8084674,8085509,"basic_Chia_ChiapetRep3_peak_data_ER_WT2.txt","chr10",7868129,8726603,"chr10",8365644,8366665
"chr10",7945580,8726665,"chr10:7987543..7988173-chr10:8767821..8768628,3","chr10",8084674,8085509,"basic_Chia_ChiapetRep2_peak_data_ER_WT2.txt","chr10",7945580,8726665,"chr10",8365644,8366665
"chr10",7945631,8128885,"chr10:7987594..7988360-chr10:8170001..8170848,2","chr10",8084674,8085509,"basic_Chia_ChiapetRep2_peak_data_ER_WT2.txt","chr10",7945631,8128885,"chr10",8084674,8085509
"chr10",79128273,88108663,"chr10:80888030..80888626-chr10:89867901..89868420,2","chr10",84401185,84402183,"basic_Chia_ChiapetRep1_peak_data_ER_WT2.txt","chr10",79128273,88108663,"chr10",84401185,84402183
"chr10",79128273,88108663,"chr10:80888030..80888626-chr10:89867901..89868420,2","chr10",84401185,84402183,"basic_Chia_ChiapetRep2_peak_data_ER_WT2.txt","chr10",79128273,88108663,"chr10",84401185,84402183
"chr10",8084579,9189402,"chr10:8126542..8127390-chr10:9230588..9231365,2","chr10",8084674,8085509,"basic_Chia_ChiapetRep1_peak_data_ER_WT2.txt","chr10",8084579,9189402,"chr10",8365644,8366665
"chr10",8084636,8726576,"chr10:8126599..8127278-chr10:8768008..8768539,2","chr10",8084674,8085509,"basic_Chia_ChiapetRep1_peak_data_ER_WT2.txt","chr10",8084636,8726576,"chr10",8365644,8366665
"chr10",8084690,8128972,"chr10:8126653..8127521-chr10:8170125..8170935,4","chr10",8084674,8085509,"basic_Chia_ChiapetRep2_peak_data_ER_WT2.txt","chr10",8084690,8128972,"chr10",8084674,8085509
"chr10",8084832,8128956,"chr10:8126795..8127521-chr10:8169986..8170919,4","chr10",8084674,8085509,"basic_Chia_ChiapetRep1_peak_data_ER_WT2.txt","chr10",8084832,8128956,"chr10",8084674,8085509
"chr10",8128002,8726611,"chr10:8169965..8170805-chr10:8767707..8768574,4","chr10",8365644,8366665,"basic_Chia_ChiapetRep3_peak_data_ER_WT2.txt","chr10",8128002,8726611,"chr10",8725294,8727606
"chr10",8128017,8726693,"chr10:8169980..8170866-chr10:8767726..8768656,6","chr10",8365644,8366665,"basic_Chia_ChiapetRep2_peak_data_ER_WT2.txt","chr10",8128017,8726693,"chr10",8725294,8727606
"chr10",8128017,8726693,"chr10:8169980..8170866-chr10:8768068..8768656,4","chr10",8365644,8366665,"basic_Chia_ChiapetRep1_peak_data_ER_WT2.txt","chr10",8128017,8726693,"chr10",8725294,8727606
"chr10",8128378,8407715,"chr10:8170341..8171025-chr10:8449129..8449678,2","chr10",8365644,8366665,"basic_Chia_ChiapetRep1_peak_data_ER_WT2.txt","chr10",8128378,8407715,"chr10",8365644,8366665
"chr10",80436224,93435663,"chr10:82195980..82196606-chr10:95194683..95195420,2","chr10",84401185,84402183,"basic_Chia_ChiapetRep2_peak_data_ER_WT2.txt","chr10",80436224,93435663,"chr10",88385243,88386700
"chr10",8544555,8726676,"chr10:8586518..8587171-chr10:8768091..8768639,2","chr10",8725294,8727606,"basic_Chia_ChiapetRep1_peak_data_ER_WT2.txt","chr10",8544555,8726676,"chr10",8725294,8727606
"chr10",8581709,8726367,"chr10:8623672..8624563-chr10:8767658..8768330,2","chr10",8725294,8727606,"basic_Chia_ChiapetRep2_peak_data_ER_WT2.txt","chr10",8581709,8726367,"chr10",8725294,8727606
"chr10",8628109,8726579,"chr10:8670072..8670869-chr10:8767842..8768542,3","chr10",8725294,8727606,"basic_Chia_ChiapetRep3_peak_data_ER_WT2.txt","chr10",8628109,8726579,"chr10",8725294,8727606
"chr10",8725729,8857647,"chr10:8767692..8768374-chr10:8898515..8899610,4","chr10",8725294,8727606,"basic_Chia_ChiapetRep1_peak_data_ER_WT2.txt","chr10",8725729,8857647,"chr10",8725294,8727606
"chr10",8725729,8857647,"chr10:8767692..8768618-chr10:8898515..8899610,5","chr10",8725294,8727606,"basic_Chia_ChiapetRep2_peak_data_ER_WT2.txt","chr10",8725729,8857647,"chr10",8725294,8727606
"chr10",8725734,8753190,"chr10:8767697..8768612-chr10:8794157..8795153,8","chr10",8725294,8727606,"basic_Chia_ChiapetRep2_peak_data_ER_WT2.txt","chr10",8725734,8753190,"chr10",8725294,8727606
"chr10",8725742,8872229,"chr10:8767705..8768607-chr10:8913064..8914192,5","chr10",8725294,8727606,"basic_Chia_ChiapetRep2_peak_data_ER_WT2.txt","chr10",8725742,8872229,"chr10",8725294,8727606
"chr10",8725784,8872229,"chr10:8767747..8768607-chr10:8913111..8914192,4","chr10",8725294,8727606,"basic_Chia_ChiapetRep1_peak_data_ER_WT2.txt","chr10",8725784,8872229,"chr10",8725294,8727606
"chr10",8725786,9188725,"chr10:8767749..8768591-chr10:9230177..9230688,2","chr10",8725294,8727606,"basic_Chia_ChiapetRep3_peak_data_ER_WT2.txt","chr10",8725786,9188725,"chr10",9036292,9037696
"chr10",8725797,8753113,"chr10:8767760..8768550-chr10:8794266..8795076,3","chr10",8725294,8727606,"basic_Chia_ChiapetRep1_peak_data_ER_WT2.txt","chr10",8725797,8753113,"chr10",8725294,8727606
"chr10",8726050,9188613,"chr10:8768013..8768519-chr10:9229859..9230576,2","chr10",8725294,8727606,"basic_Chia_ChiapetRep1_peak_data_ER_WT2.txt","chr10",8726050,9188613,"chr10",9036292,9037696
"chr10",9037578,9179500,"chr10:9079541..9080632-chr10:9220317..9221463,3","chr10",9036292,9037696,"basic_Chia_ChiapetRep1_peak_data_ER_WT2.txt","chr10",9037578,9179500,"chr10",9036292,9037696
"chr10",9037954,9188971,"chr10:9079917..9080912-chr10:9229764..9230934,3","chr10",9036292,9037696,"basic_Chia_ChiapetRep1_peak_data_ER_WT2.txt","chr10",9037954,9188971,"chr10",9036292,9037696
"chr10",93435110,100884009,"chr10:95194867..95195426-chr10:102642824..102643766,2","chr10",96863482,96864253,"basic_Chia_ChiapetRep3_peak_data_ER_WT2.txt","chr10",93435110,100884009,"chr10",96863482,96864253
"chr11",100999344,101336899,"chr11:100870075..100870912-chr11:101206818..101207630,4","chr11",101033439,101034888,"basic_Chia_ChiapetRep1_peak_data_ER_WT2.txt","chr11",100999344,101336899,"chr11",101033439,101034888
"chr11",100999382,101337201,"chr11:100870113..100871129-chr11:101206662..101207932,9","chr11",101033439,101034888,"basic_Chia_ChiapetRep2_peak_data_ER_WT2.txt","chr11",100999382,101337201,"chr11",101033439,101034888
"chr11",100999418,101300291,"chr11:100870149..100871156-chr11:101169662..101171022,4","chr11",101033439,101034888,"basic_Chia_ChiapetRep3_peak_data_ER_WT2.txt","chr11",100999418,101300291,"chr11",101033439,101034888
"chr11",100999463,101034690,"chr11:100870194..100871081-chr11:100904462..100905421,7","chr11",101033439,101034888,"basic_Chia_ChiapetRep2_peak_data_ER_WT2.txt","chr11",100999463,101034690,"chr11",101033439,101034888
"chr11",100999469,101034690,"chr11:100870200..100871081-chr11:100904462..100905421,6","chr11",101033439,101034888,"basic_Chia_ChiapetRep1_peak_data_ER_WT2.txt","chr11",100999469,101034690,"chr11",101033439,101034888
"chr11",100999532,101437222,"chr11:100870263..100871131-chr11:101307054..101307953,2","chr11",101033439,101034888,"basic_Chia_ChiapetRep2_peak_data_ER_WT2.txt","chr11",100999532,101437222,"chr11",101033439,101034888
"chr11",100999602,101300620,"chr11:100870333..100871073-chr11:101169597..101171351,4","chr11",101033439,101034888,"basic_Chia_ChiapetRep2_peak_data_ER_WT2.txt","chr11",100999602,101300620,"chr11",101033439,101034888
"chr11",100999743,101299774,"chr11:100870474..100871073-chr11:101169597..101170505,2","chr11",101033439,101034888,"basic_Chia_ChiapetRep1_peak_data_ER_WT2.txt","chr11",100999743,101299774,"chr11",101033439,101034888
"chr11",100999897,101034716,"chr11:100870628..100871128-chr11:100904478..100905447,2","chr11",101033439,101034888,"basic_Chia_ChiapetRep3_peak_data_ER_WT2.txt","chr11",100999897,101034716,"chr11",101033439,101034888
"chr11",101033652,101300326,"chr11:100904383..100905446-chr11:101169554..101171057,9","chr11",101033439,101034888,"basic_Chia_ChiapetRep2_peak_data_ER_WT2.txt","chr11",101033652,101300326,"chr11",101033439,101034888
"chr11",101033711,101336671,"chr11:100904442..100905396-chr11:101206625..101207402,5","chr11",101033439,101034888,"basic_Chia_ChiapetRep2_peak_data_ER_WT2.txt","chr11",101033711,101336671,"chr11",101033439,101034888
"chr11",101033747,101442426,"chr11:100904478..100905445-chr11:101312572..101313157,3","chr11",101033439,101034888,"basic_Chia_ChiapetRep2_peak_data_ER_WT2.txt","chr11",101033747,101442426,"chr11",101033439,101034888
"chr11",101033812,101300047,"chr11:100904543..100905105-chr11:101170006..101170778,2","chr11",101033439,101034888,"basic_Chia_ChiapetRep1_peak_data_ER_WT2.txt","chr11",101033812,101300047,"chr11",101033439,101034888
"chr11",101033848,101336865,"chr11:100904579..100905396-chr11:101206625..101207596,7","chr11",101033439,101034888,"basic_Chia_ChiapetRep1_peak_data_ER_WT2.txt","chr11",101033848,101336865,"chr11",101033439,101034888
"chr11",101033868,101179129,"chr11:100904599..100905404-chr11:101049211..101049860,2","chr11",101033439,101034888,"basic_Chia_ChiapetRep2_peak_data_ER_WT2.txt","chr11",101033868,101179129,"chr11",101033439,101034888
"chr11",101033889,101299782,"chr11:100904620..100905411-chr11:101169671..101170513,2","chr11",101033439,101034888,"basic_Chia_ChiapetRep3_peak_data_ER_WT2.txt","chr11",101033889,101299782,"chr11",101033439,101034888
"chr11",101033893,101337380,"chr11:100904624..100905561-chr11:101206740..101208111,4","chr11",101033439,101034888,"basic_Chia_ChiapetRep3_peak_data_ER_WT2.txt","chr11",101033893,101337380,"chr11",101033439,101034888
"chr17",58639748,58640353,"chr11:116706590..116707290-chr17:56717109..56717714,2","chr17",58639510,58640144,"basic_Chia_ChiapetRep2_peak_data_ER_WT2.txt","chr17",58639748,58640353,"chr17",58639510,58640144
"chr20",54195083,54195830,"chr11:130271221..130271741-chr20:52811622..52812369,4","chr20",54194696,54195682,"basic_Chia_ChiapetRep1_peak_data_ER_WT2.txt","chr20",54195083,54195830,"chr20",54194696,54195682
"chr20",54195083,54195718,"chr11:130271241..130271741-chr20:52811622..52812257,3","chr20",54194696,54195682,"basic_Chia_ChiapetRep2_peak_data_ER_WT2.txt","chr20",54195083,54195718,"chr20",54194696,54195682
"chr11",16956349,17406108,"chr11:16977896..16978786-chr11:17426967..17427655,5","chr11",17238536,17239566,"basic_Chia_ChiapetRep1_peak_data_ER_WT2.txt","chr11",16956349,17406108,"chr11",17238536,17239566
"chr11",16956349,17406143,"chr11:16977896..16978867-chr11:17426967..17427690,6","chr11",17238536,17239566,"basic_Chia_ChiapetRep2_peak_data_ER_WT2.txt","chr11",16956349,17406143,"chr11",17238536,17239566
"chr11",16956457,20032468,"chr11:16978004..16978751-chr11:20053101..20054014,2","chr11",17238536,17239566,"basic_Chia_ChiapetRep2_peak_data_ER_WT2.txt","chr11",16956457,20032468,"chr11",17238536,17239566
"chr11",16956651,76773158,"chr11:16978198..16978723-chr11:76483683..76484202,2","chr11",17238536,17239566,"basic_Chia_ChiapetRep3_peak_data_ER_WT2.txt","chr11",16956651,76773158,"chr11",24446070,24446529
