seqnames	start	end	width	strand	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	GENENAME
chr1	89066959	89067853	895	*	89067615	21	5	6	3.78465870864986e-08	1.96564404154609e-05	2.05809109111169e-05	2058.09109111169	3.72190242809471e-06	372.190242809471	1685.90084830222	0.00015051456856592	Distal Intergenic	1	89057615	89065360	7746	2	2633	ENST00000681280.1	-1599	GBP1
chr1	93277305	93277737	433	*	93277534	21	9	4	4.28858236700691e-08	0.00262574423939965	2.05809109111169e-05	2058.09109111169	6.69942437057047e-06	669.942437057047	1388.14865405465	0.000168270286227756	Intron (ENST00000343253.11/343099, intron 28 of 28)	1	93254517	93264947	10431	1	343099	ENST00000447456.1	22788	CCDC18
chr1	96163879	96165173	1295	*	96164537	24	11	10	2.95264135363738e-09	1.10547167726516e-05	2.35210410412765e-05	2352.10410412765	8.18818534180835e-06	818.818534180835	1533.28556994681	1.55670500874123e-05	Distal Intergenic	1	96010696	96022678	11983	1	102723661	ENST00000631091.1	153183	RP11-147C23.1
chr1	107936038	107937110	1073	*	107936582	30	14	7	2.49025244869472e-11	7.99696710629405e-07	2.94013013015956e-05	2940.13013015956	1.04213267986652e-05	1042.13267986652	1897.99745029304	2.11104073778504e-07	Intron (ENST00000370056.9/10451, intron 1 of 26)	1	107770659	107963500	192842	2	10451	ENST00000530671.1	26390	VAV3
chr1	108198190	108199629	1440	*	108199410	43	32	8	0	4.70517684691973e-06	4.21418651989537e-05	4214.18651989537	2.38201755398061e-05	2382.01755398061	1832.16896591476	0	Promoter	1	108134820	108200279	65460	2	29957	ENST00000264128.13	650	SLC25A24
chr1	108215810	108217313	1504	*	108217004	71	60	14	0	5.81356052187232e-08	6.95830797471096e-05	6958.30797471096	4.46628291371365e-05	4466.28291371365	2492.02506099731	0	Distal Intergenic	1	108134043	108200343	66301	2	29957	ENST00000565488.6	-15467	SLC25A24
chr1	108234546	108235746	1201	*	108234986	33	20	11	5.65014701692235e-12	6.44588844422866e-06	3.23414314317552e-05	3234.14314317552	1.48876097123788e-05	1488.76097123788	1745.38217193763	5.49880842652165e-08	Exon (ENST00000415641.8/148545, exon 9 of 15)	1	108222464	108244076	21613	2	148545	ENST00000415641.8	8330	NBPF4
chr1	108381471	108382920	1450	*	108382305	25	19	4	1.71369674006883e-09	0.00118518384693123	2.45010844179963e-05	2450.10844179963	1.41432292267599e-05	1414.32292267599	1035.78551912365	9.55087073364497e-06	Exon (ENST00000357046.4/ENST00000357046.4, exon 7 of 10)	1	108420689	108433184	12496	1	653149	ENST00000419814.1	-37769	NBPF6
chr1	108458160	108459557	1398	*	108459259	52	23	11	0	1.81010761934886e-12	5.09622555894324e-05	5096.22555894324	1.71207511692356e-05	1712.07511692356	3384.15044201967	0	Exon (ENST00000370040.7/653149, exon 10 of 16)	1	108450343	108471920	21578	1	653149	ENST00000495380.7	7817	NBPF6
chr1	108815818	108816529	712	*	108816295	27	18	9	1.18108367530567e-09	0.000746722068093897	2.6461171171436e-05	2646.1171171436	1.33988487411409e-05	1339.88487411409	1306.23224302951	6.89252617531979e-06	Promoter	1	108815898	108817454	1557	2	254268	ENST00000466413.1	925	AKNAD1
chr1	109137942	109138373	432	*	109138141	22	9	2	1.46812030310528e-08	0.000338694681088936	2.15609542878368e-05	2156.09542878368	6.69942437057047e-06	669.942437057047	1486.15299172663	6.35660966860991e-05	Intron (ENST00000533147.5/57535, intron 2 of 2)	1	109161606	109164626	3021	1	57535	ENST00000533374.1	-23233	KIAA1324
chr1	109151022	109152543	1522	*	109151740	38	27	6	0	0.00167206701673794	3.72416483153544e-05	3724.16483153544	2.00982731117114e-05	2009.82731117114	1714.3375203643	0	Intron (ENST00000533147.5/57535, intron 2 of 2)	1	109161606	109164626	3021	1	57535	ENST00000533374.1	-9063	KIAA1324
chr1	109214504	109215453	950	*	109214816	26	7	6	4.51704229575967e-10	3.0047583043924e-06	2.54811277947162e-05	2548.11277947162	5.21066339933259e-06	521.066339933259	2027.04643953836	2.88709088553711e-06	Promoter	1	109213982	109238148	24167	1	6301	ENST00000369923.4	522	SARS
chr1	113388198	113389299	1102	*	113388591	32	10	5	9.24815779512755e-14	2.48581345951848e-07	3.13613880550353e-05	3136.13880550353	7.44380485618941e-06	744.380485618941	2391.75831988459	1.29528170122051e-09	Distal Intergenic	1	113390515	113685923	295409	1	260425	ENST00000307546.14	-1216	MAGI3
chr1	113809487	113810436	950	*	113809963	26	13	14	1.35088281671969e-08	0.000620409681659551	2.54811277947162e-05	2548.11277947162	9.67694631304624e-06	967.694631304624	1580.418148167	5.94488463740087e-05	Intron (ENST00000261441.9/54665, intron 1 of 6)	1	113765848	113812289	46442	2	54665	ENST00000615321.1	1853	RSBN1
chr1	113975998	113977141	1144	*	113976809	42	13	6	0	8.41770098070072e-10	4.11618218222338e-05	4116.18218222339	9.67694631304624e-06	967.694631304624	3148.48755091876	0	3' UTR	1	113979391	113982254	2864	1	56944	ENST00000393300.6	-2250	OLFML3
chr1	114479238	114480491	1254	*	114480258	27	17	9	6.52747966789491e-10	0.00209083579412761	2.6461171171436e-05	2646.1171171436	1.2654468255522e-05	1265.4468255522	1380.6702915914	4.06716526273422e-06	Intron (ENST00000358465.7/51592, intron 1 of 19)	1	114397608	114463236	65629	2	51592	ENST00000448034.5	-16002	TRIM33
chr1	115714157	115714906	750	*	115714492	28	13	3	1.0661138638568e-11	0.000981756918432386	2.74412145481559e-05	2744.12145481559	9.67694631304624e-06	967.694631304624	1776.42682351097	9.70146148707398e-08	Intron (ENST00000713711.1/845, intron 9 of 11)	1	115671144	115684076	12933	1	81839	ENST00000474344.1	43013	VANGL1
chr1	115929673	115930325	653	*	115929945	24	9	10	3.97411600294717e-08	0.000396565094379797	2.35210410412765e-05	2352.10410412765	6.69942437057047e-06	669.942437057047	1682.1616670706	0.000156695064787832	Intron (ENST00000634255.2/101928995, intron 3 of 3)	1	115919637	115926051	6415	1	101928995	ENST00000665767.1	10036	NA
chr1	115952251	115953246	996	*	115952759	32	16	9	1.74549263931567e-12	0.000803167040702268	3.13613880550353e-05	3136.13880550353	1.19100877699031e-05	1191.00877699031	1945.13002851323	1.92562628415014e-08	Distal Intergenic	1	115976513	116070054	93542	1	55356	ENST00000369503.9	-23267	SLC22A15
chr1	116219263	116220480	1218	*	116220003	26	2	11	1.86118546130487e-08	5.23499108506797e-08	2.54811277947162e-05	2548.11277947162	1.48876097123788e-06	148.876097123788	2399.23668234783	7.90023300398898e-05	Distal Intergenic	1	116278606	116278821	216	1	124904669	ENST00000408113.2	-58126	NA
chr1	116508487	116510494	2008	*	116509264	76	3	20	0	0	7.44832966307089e-05	7448.32966307089	2.23314145685682e-06	223.314145685682	7225.01551738521	0	Distal Intergenic	1	116493350	116502634	9285	1	112268235	ENST00000660250.1	15137	NA
chr1	116619072	116620153	1082	*	116619490	43	25	12	0	0.00426145948084511	4.21418651989537e-05	4214.18651989537	1.86095121404735e-05	1860.95121404735	2353.23530584802	0	Intron (ENST00000369483.5/3321, intron 2 of 11)	1	116616264	116646945	30682	2	3321	ENST00000481589.1	26792	IGSF3
chr1	117363133	117363684	552	*	117363454	23	5	4	1.15705763858998e-08	4.36437738926543e-06	2.25409976645566e-05	2254.09976645566	3.72190242809471e-06	372.190242809471	1881.90952364619	5.22759939356341e-05	Distal Intergenic	1	117367449	117528872	161424	1	10905	ENST00000356554.7	-3765	MAN1A2
chr1	117590827	117591613	787	*	117591312	31	17	5	3.29736238313671e-13	0.000194818840249633	3.03813446783155e-05	3038.13446783155	1.2654468255522e-05	1265.4468255522	1772.68764227935	4.14919216172593e-09	Distal Intergenic	1	117604624	117605685	1062	2	100996263	ENST00000456126.1	14072	NA
chr1	120041362	120042891	1530	*	120042375	40	28	16	2.36477504245158e-14	0.000434420790055401	3.92017350687941e-05	3920.17350687941	2.08426535973304e-05	2084.26535973304	1835.90814714638	3.59327790792503e-10	Intron (ENST00000256646.7/4853, intron 1 of 33)	1	120005233	120029963	24731	2	4853	ENST00000489731.1	-11399	NOTCH2
chr1	120282150	120283521	1372	*	120283228	29	14	15	4.82444395544235e-08	5.76681795569911e-05	2.84212579248758e-05	2842.12579248758	1.04213267986652e-05	1042.13267986652	1799.99311262106	0.000186121963357037	Intron (ENST00000612320.1/ENST00000612320.1, intron 4 of 5)	1	120354987	120355148	162	1	124904631	ENST00000614085.1	-71466	NA
chr1	120614194	120615472	1279	*	120615131	29	11	6	1.96137994734613e-10	3.35255883820995e-06	2.84212579248758e-05	2842.12579248758	8.18818534180835e-06	818.818534180835	2023.30725830674	1.36539380765123e-06	Intron (ENST00000612480.2/100996724, intron 4 of 41)	1	120489860	120558143	68284	2	100996724	ENST00000715505.1	-56051	NA
chr1	120733479	120734847	1369	*	120734273	29	21	14	4.8924176820897e-08	0.00213934488893197	2.84212579248758e-05	2842.12579248758	1.56319901979978e-05	1563.19901979978	1278.9267726878	0.000188518547378687	Intron (ENST00000690847.1/101929796, intron 1 of 3)	1	120723949	120807662	83714	1	101060684	ENST00000652763.1	9530	NBPF9
chr1	120750275	120751603	1329	*	120751082	33	22	11	6.95266066941258e-11	0.000336228065638267	3.23414314317552e-05	3234.14314317552	1.63763706836167e-05	1637.63706836167	1596.50607481385	5.40987870196301e-07	Intron (ENST00000690847.1/101929796, intron 1 of 3)	1	120723949	120807662	83714	1	101060684	ENST00000652763.1	26326	NBPF9
chr1	121100020	121100866	847	*	121100565	27	15	8	1.82594106501455e-09	0.000316671519601797	2.6461171171436e-05	2646.1171171436	1.11657072842841e-05	1116.57072842841	1529.54638871519	1.01020829259546e-05	Intron (ENST00000426275.1/ENST00000426275.1, intron 1 of 1)	1	121090289	121097655	7367	2	100996318	ENST00000457996.1	-2365	NA
chr1	143887456	143888302	847	*	143887785	34	9	6	4.9960036108132e-15	3.14817949487178e-09	3.3321474808475e-05	3332.1474808475	6.69942437057047e-06	669.942437057047	2662.20504379046	8.56055120407672e-11	Intron (ENST00000609585.1/338391, intron 1 of 1)	1	143877731	143885076	7346	2	338391	ENST00000415338.1	-2380	NA
chr1	144403954	144405339	1386	*	144404241	28	26	17	3.27339588768183e-09	0.00921501375898137	2.74412145481559e-05	2744.12145481559	1.93538926260925e-05	1935.38926260925	808.732192206343	1.71128905564268e-05	Distal Intergenic	1	144412576	144412740	165	1	101954267	ENST00000384476.1	-7237	RNVU1-15
chr1	145739125	145740533	1409	*	145740330	32	17	8	1.02017283509781e-11	0.000161859914149853	3.13613880550353e-05	3136.13880550353	1.2654468255522e-05	1265.4468255522	1870.69197995133	9.33615227545355e-08	3' UTR	1	145728328	145738493	10166	1	11126	ENST00000584442.2	10797	CD160
chr1	146178153	146179090	938	*	146178830	24	5	8	1.0992251253672e-07	1.39657446385222e-06	2.35210410412765e-05	2352.10410412765	3.72190242809471e-06	372.190242809471	1979.91386131818	0.000390836651633623	Intron (ENST00000612520.2/100132406, intron 2 of 20)	1	146066318	146144804	78487	2	100132406	ENST00000617010.2	-33349	NBPF10
chr1	146191088	146192518	1431	*	146191783	34	22	9	1.53987933515509e-12	0.000965183736211128	3.3321474808475e-05	3332.1474808475	1.63763706836167e-05	1637.63706836167	1694.51041248583	1.70463160730831e-08	Intron (ENST00000612520.2/100132406, intron 1 of 20)	1	146164841	146228508	63668	2	388677	ENST00000685177.1	35990	NOTCH2NL
chr1	146200557	146202099	1543	*	146201737	48	36	17	0	0.000788993741324573	4.7042082082553e-05	4704.2082082553	2.67976974822819e-05	2679.76974822819	2024.43846002711	0	Intron (ENST00000612520.2/100132406, intron 1 of 20)	1	146164841	146228508	63668	2	388677	ENST00000685177.1	26409	NOTCH2NL
chr1	147538415	147539450	1036	*	147538984	31	5	10	2.57094345812448e-12	2.07540151730967e-09	3.03813446783155e-05	3038.13446783155	3.72190242809471e-06	372.190242809471	2665.94422502208	2.7791570943898e-08	Distal Intergenic	1	147541501	147626180	84680	1	607	ENST00000683836.1	-2051	BCL9
chr1	147668900	147669785	886	*	147669492	30	11	7	4.21374046766232e-12	1.29951003429163e-05	2.94013013015956e-05	2940.13013015956	8.18818534180835e-06	818.818534180835	2121.31159597873	4.26852174389317e-08	Promoter	1	147649817	147670048	20232	2	51205	ENST00000487562.5	263	ACP6
chr1	147675818	147677336	1519	*	147676757	64	30	14	0	5.89714299614741e-09	6.27227761100706e-05	6272.27761100706	2.23314145685682e-05	2233.14145685682	4039.13615415024	0	Distal Intergenic	1	147642230	147670524	28295	2	51205	ENST00000583509.7	-5294	ACP6
chr1	147716125	147717210	1086	*	147716719	45	33	8	0	0.00640733397553406	4.41019519523934e-05	4410.19519523934	2.45645560254251e-05	2456.45560254251	1953.73959269684	0	Distal Intergenic	1	147756199	147760602	4404	2	2702	ENST00000579774.3	43392	GJA5
chr1	148641458	148642863	1406	*	148642499	28	13	7	1.43141321018447e-09	7.04275865029969e-05	2.74412145481559e-05	2744.12145481559	9.67694631304624e-06	967.694631304624	1776.42682351097	8.20475354683643e-06	Intron (ENST00000606877.2/100996763, intron 1 of 7)	1	148593645	148679742	86098	2	100996763	ENST00000606877.2	36879	NBPF14
chr1	148652106	148653135	1030	*	148652623	44	23	11	0	1.32595975177452e-06	4.31219085756736e-05	4312.19085756736	1.71207511692356e-05	1712.07511692356	2600.11574064379	0	Intron (ENST00000606877.2/100996763, intron 1 of 7)	1	148593645	148679742	86098	2	100996763	ENST00000606877.2	26607	NBPF14
chr1	148661684	148662855	1172	*	148662384	31	25	15	1.13123664879922e-08	0.00907317921394768	3.03813446783155e-05	3038.13446783155	1.86095121404735e-05	1860.95121404735	1177.18325378419	5.1253166367316e-05	Intron (ENST00000606877.2/100996763, intron 1 of 7)	1	148593645	148679742	86098	2	100996763	ENST00000606877.2	16887	NBPF14
chr1	148894429	148895406	978	*	148895113	28	19	8	7.91669674260476e-09	0.00165356056437005	2.74412145481559e-05	2744.12145481559	1.41432292267599e-05	1414.32292267599	1329.7985321396	3.76141411773096e-05	Intron (ENST00000695766.1/9659, intron 3 of 4)	1	148889784	148932725	42942	1	9659	ENST00000612094.1	4645	PDE4DIP
chr1	149234195	149235473	1279	*	149235132	26	8	6	1.27911029546013e-08	2.65023931311781e-06	2.54811277947162e-05	2548.11277947162	5.95504388495153e-06	595.504388495153	1952.60839097647	5.67555332974948e-05	Intron (ENST00000668239.1/ENST00000668239.1, intron 1 of 1)	1	149197555	149240707	43153	2	653513	ENST00000685012.2	5234	PDE4DIP
chr1	149400610	149401860	1251	*	149401285	29	24	10	2.71476292557082e-08	0.00471947664798755	2.84212579248758e-05	2842.12579248758	1.78651316548546e-05	1786.51316548546	1055.61262700212	0.000110558531380331	Intron (ENST00000650865.2/100996717, intron 1 of 4)	1	149406376	149468030	61655	1	100996717	ENST00000578189.1	-4516	NOTCH2NL
chr1	149400610	149401860	1251	*	149401285	29	24	10	2.71476292557082e-08	0.00471947664798755	2.84212579248758e-05	2842.12579248758	1.78651316548546e-05	1786.51316548546	1055.61262700212	0.000110558531380331	Intron (ENST00000650865.2/100996717, intron 1 of 4)	1	149406376	149468030	61655	1	100996717	ENST00000578189.1	-4516	NBPF14
chr1	149400610	149401860	1251	*	149401285	29	24	10	2.71476292557082e-08	0.00471947664798755	2.84212579248758e-05	2842.12579248758	1.78651316548546e-05	1786.51316548546	1055.61262700212	0.000110558531380331	Intron (ENST00000650865.2/100996717, intron 1 of 4)	1	149406376	149468030	61655	1	100996717	ENST00000578189.1	-4516	NBPF19
chr1	149417596	149418924	1329	*	149418403	45	27	12	1.22124532708767e-15	1.0774646035383e-06	4.41019519523934e-05	4410.19519523934	2.00982731117114e-05	2009.82731117114	2400.3678840682	2.34169575264956e-11	Intron (ENST00000650865.2/100996717, intron 1 of 4)	1	149406376	149468030	61655	1	100996717	ENST00000578189.1	11220	NOTCH2NL
chr1	149417596	149418924	1329	*	149418403	45	27	12	1.22124532708767e-15	1.0774646035383e-06	4.41019519523934e-05	4410.19519523934	2.00982731117114e-05	2009.82731117114	2400.3678840682	2.34169575264956e-11	Intron (ENST00000650865.2/100996717, intron 1 of 4)	1	149406376	149468030	61655	1	100996717	ENST00000578189.1	11220	NBPF14
chr1	149417596	149418924	1329	*	149418403	45	27	12	1.22124532708767e-15	1.0774646035383e-06	4.41019519523934e-05	4410.19519523934	2.00982731117114e-05	2009.82731117114	2400.3678840682	2.34169575264956e-11	Intron (ENST00000650865.2/100996717, intron 1 of 4)	1	149406376	149468030	61655	1	100996717	ENST00000578189.1	11220	NBPF19
chr1	149427796	149429226	1431	*	149428527	32	20	9	4.10513179005534e-10	0.00010055938121234	3.13613880550353e-05	3136.13880550353	1.48876097123788e-05	1488.76097123788	1647.37783426565	2.66613577637912e-06	Intron (ENST00000650865.2/100996717, intron 1 of 4)	1	149406376	149468030	61655	1	100996717	ENST00000578189.1	21420	NOTCH2NL
chr1	149427796	149429226	1431	*	149428527	32	20	9	4.10513179005534e-10	0.00010055938121234	3.13613880550353e-05	3136.13880550353	1.48876097123788e-05	1488.76097123788	1647.37783426565	2.66613577637912e-06	Intron (ENST00000650865.2/100996717, intron 1 of 4)	1	149406376	149468030	61655	1	100996717	ENST00000578189.1	21420	NBPF14
chr1	149427796	149429226	1431	*	149428527	32	20	9	4.10513179005534e-10	0.00010055938121234	3.13613880550353e-05	3136.13880550353	1.48876097123788e-05	1488.76097123788	1647.37783426565	2.66613577637912e-06	Intron (ENST00000650865.2/100996717, intron 1 of 4)	1	149406376	149468030	61655	1	100996717	ENST00000578189.1	21420	NBPF19
chr1	149441239	149441923	685	*	149441495	25	5	6	7.0893753978396e-08	1.58422820861759e-07	2.45010844179963e-05	2450.10844179963	3.72190242809471e-06	372.190242809471	2077.91819899016	0.000260997745403742	Intron (ENST00000650865.2/100996717, intron 2 of 4)	1	149475045	149556361	81317	1	101060226	ENST00000651566.2	-33122	NA
chr1	149795398	149796244	847	*	149795943	34	18	6	4.42534897615587e-13	3.57514050486341e-06	3.3321474808475e-05	3332.1474808475	1.33988487411409e-05	1339.88487411409	1992.26260673341	5.39983428846512e-09	Intron (ENST00000545683.1/440689, intron 1 of 1)	1	149785659	149793020	7362	2	124904411	ENST00000428289.1	-2378	NA
chr1	150020961	150022070	1110	*	150021539	32	12	14	1.08772657547718e-09	1.53833833782535e-07	3.13613880550353e-05	3136.13880550353	8.93256582742729e-06	893.25658274273	2242.8822227608	6.44106489356765e-06	Distal Intergenic	1	149937812	150010726	72915	2	56957	ENST00000581312.6	-10235	OTUD7B
chr1	151006953	151008342	1390	*	151007152	25	7	6	2.27343865955021e-09	1.05047277653147e-05	2.45010844179963e-05	2450.10844179963	5.21066339933259e-06	521.066339933259	1929.04210186638	1.22672084395859e-05	Promoter	1	150996835	151008365	11531	2	55793	ENST00000361936.9	23	FAM63A
chr1	151885550	151886045	496	*	151885749	24	3	9	2.38715897049602e-08	9.0330890523127e-07	2.35210410412765e-05	2352.10410412765	2.23314145685682e-06	223.314145685682	2128.78995844197	9.821015903366e-05	Intron (ENST00000648930.1/ENST00000648930.1, intron 1 of 2)	1	151877087	151889750	12664	2	117145	ENST00000477437.1	3705	THEM4
chr1	152728801	152729823	1023	*	152729280	21	8	10	6.22685061291151e-08	0.000666970101113606	2.05809109111169e-05	2058.09109111169	5.95504388495153e-06	595.504388495153	1462.58670261654	0.000233242039617414	Distal Intergenic	1	152719522	152720470	949	1	100129271	ENST00000368775.3	9279	C1orf68
chr1	153511220	153511704	485	*	153511436	23	9	6	7.2139241247271e-09	0.000178861738261871	2.25409976645566e-05	2254.09976645566	6.69942437057047e-06	669.942437057047	1584.15732939862	3.47881987541866e-05	Distal Intergenic	1	153533430	153535129	1700	1	124904423	ENST00000420695.3	-21726	NA
chr1	155635401	155635859	459	*	155635600	24	9	4	1.916568681537e-09	0.000124082661026037	2.35210410412765e-05	2352.10410412765	6.69942437057047e-06	669.942437057047	1682.1616670706	1.05357051019109e-05	Intron (ENST00000668003.2/ENST00000668003.2, intron 1 of 2)	1	155613221	155614052	832	1	55154	ENST00000462250.2	22180	MSTO1
chr1	162159335	162160429	1095	*	162159745	40	30	6	0	0.00185459390518483	3.92017350687941e-05	3920.17350687941	2.23314145685682e-05	2233.14145685682	1687.03205002259	0	Intron (ENST00000361897.10/9722, intron 2 of 9)	1	162157107	162157182	76	1	100616386	ENST00000577581.1	2228	MIR4654
chr1	169496671	169498102	1432	*	169497607	26	7	15	1.17590082115981e-09	1.4103814465205e-06	2.54811277947162e-05	2548.11277947162	5.21066339933259e-06	521.066339933259	2027.04643953836	6.87473448826969e-06	Exon (ENST00000392097.5/ENST00000392097.5, exon 1 of 1)	1	169463909	169485944	22036	2	10560	ENST00000236137.10	-10727	SLC19A2
chr1	172529433	172530880	1448	*	172530092	40	18	13	0	4.40264975345439e-05	3.92017350687941e-05	3920.17350687941	1.33988487411409e-05	1339.88487411409	2580.28863276532	0	Distal Intergenic	1	172532349	172611833	79485	1	51430	ENST00000367723.8	-1469	SUCO
chr1	177571447	177572392	946	*	177572089	29	19	9	5.03463937207016e-12	0.000436215292843656	2.84212579248758e-05	2842.12579248758	1.41432292267599e-05	1414.32292267599	1427.80286981159	4.97493719757768e-08	Exon (ENST00000654501.1/ENST00000654501.1, exon 1 of 3)	1	177700524	177710330	9807	1	101928778	ENST00000427173.1	-128132	RP11-63B19.1
chr1	178655019	178656291	1273	*	178655972	40	8	11	0	2.81212830799404e-11	3.92017350687941e-05	3920.17350687941	5.95504388495153e-06	595.504388495153	3324.66911838426	0	Distal Intergenic	1	178677749	178677834	86	1	100616328	ENST00000585257.1	-21458	MIR4424
chr1	180551926	180553241	1316	*	180552656	24	14	14	1.35476232454579e-08	0.00221806905605282	2.35210410412765e-05	2352.10410412765	1.04213267986652e-05	1042.13267986652	1309.97142426113	5.95382370542562e-05	Promoter	1	180552749	180566520	13772	1	148756	ENST00000648175.1	0	OVAAL
chr1	185823848	185825209	1362	*	185824217	28	35	15	1.55955359737447e-10	0.00370329945442915	2.74412145481559e-05	2744.12145481559	2.60533169966629e-05	2605.33169966629	138.789755149296	1.10172269834945e-06	Intron (ENST00000271588.9/83872, intron 1 of 106)	1	185734391	186190949	456559	1	83872	ENST00000271588.9	89457	HMCN1
chr1	187312726	187313709	984	*	187313355	27	6	14	8.52420356522998e-11	2.68427939653648e-07	2.6461171171436e-05	2646.1171171436	4.46628291371365e-06	446.628291371365	2199.48882577224	6.41783083676906e-07	Intron (ENST00000643891.1/106144535, intron 2 of 8)	1	187307491	187487207	179717	1	106144535	ENST00000667298.1	5235	LINC01037
chr1	188371329	188373521	2193	*	188371915	43	20	30	0	2.91079571557162e-09	4.21418651989537e-05	4214.18651989537	1.48876097123788e-05	1488.76097123788	2725.42554865749	0	Distal Intergenic	1	188905688	189037262	131575	1	106144592	ENST00000445072.1	-532167	NA
chr1	200015778	200016916	1139	*	200016263	26	15	10	1.13429188264291e-09	0.000372757920226285	2.54811277947162e-05	2548.11277947162	1.11657072842841e-05	1116.57072842841	1431.54205104321	6.6799672428093e-06	Distal Intergenic	1	200027614	200175603	147990	1	2494	ENST00000236914.7	-10698	NR5A2
chr1	200433032	200433617	586	*	200433368	26	15	7	6.03245120522899e-10	0.000389644161705394	2.54811277947162e-05	2548.11277947162	1.11657072842841e-05	1116.57072842841	1431.54205104321	3.78802893379236e-06	Intron (ENST00000637430.1/124904480, intron 4 of 5)	1	200411694	200478360	66667	1	124904480	ENST00000647823.1	21338	NA
chr1	203913892	203914953	1062	*	203914282	22	6	9	1.24116732780344e-07	0.000567262116800138	2.15609542878368e-05	2156.09542878368	4.46628291371365e-06	446.628291371365	1709.46713741231	0.000436011389539911	Distal Intergenic	1	203863625	203870051	6427	1	6635	ENST00000367208.1	50267	SNRPE
chr1	207240703	207241777	1075	*	207241391	34	10	5	2.22044604925031e-15	1.82970103623781e-07	3.3321474808475e-05	3332.1474808475	7.44380485618941e-06	744.380485618941	2587.76699522856	4.08732349553377e-11	Promoter	1	207240122	207309292	69171	1	124904497	ENST00000634239.1	581	NA
chr1	215481477	215482685	1209	*	215482233	24	8	16	8.97446150727177e-09	3.41049047686282e-05	2.35210410412765e-05	2352.10410412765	5.95504388495153e-06	595.504388495153	1756.5997156325	4.21425798553322e-05	Distal Intergenic	1	215567304	215621807	54504	1	51133	ENST00000259154.9	-84619	KCTD3
