Chr,Start,End,Center,Experiment Insertions,Background insertions,Reference Insertions,pvalue Reference,pvalue Background,Fraction Experiment,TPH Experiment,Fraction background,TPH background,TPH background subtracted,pvalue_adj Reference,Nearest Refseq1,Gene Name1,Direction1,Distance1,Nearest Refseq2,Gene Name2,Direction2,Distance2
chr1,153511219,153511704,153511436.0,23,9,6,7.2139241247271e-09,0.00017886173826187068,2.2540997664556634e-05,2254.0997664556635,6.699424370570471e-06,669.9424370570471,1584.1573293986164,3.47881987541866e-05,NM_014624,S100A6,-,22896,NM_002962,S100A5,-,25443
chr1,155635400,155635859,155635600.0,24,9,4,1.916568681537001e-09,0.00012408266102603704,2.3521041041276488e-05,2352.1041041276485,6.699424370570471e-06,669.9424370570471,1682.1616670706014,1.0535705101910862e-05,NM_001256532,MSTO1,+,-20434,NR_024117,MSTO2P,+,-20576
chr1,162159334,162160429,162159745.0,40,30,6,0.0,0.0018545939051848315,3.920173506879414e-05,3920.1735068794146,2.2331414568568236e-05,2233.1414568568234,1687.0320500225912,0.0,NM_001164757,NOS1AP,+,0,NR_039798,MIR4654,+,-2153
chr1,169496670,169498102,169497607.0,26,7,15,1.1759008211598143e-09,1.4103814465205033e-06,2.5481127794716194e-05,2548.1127794716194,5.210663399332588e-06,521.0663399332589,2027.0464395383606,6.874734488269689e-06,NM_001319667,SLC19A2,-,-10701,NM_000130,F5,-,13852
chr1,172529432,172530880,172530092.0,40,18,13,0.0,4.402649753454391e-05,3.920173506879414e-05,3920.1735068794146,1.3398848741140941e-05,1339.8848741140941,2580.2886327653205,0.0,NM_016227,SUCO,+,1469,NM_001282750,SUCO,+,2238
chr1,177571446,177572392,177572089.0,29,19,9,5.03463937207016e-12,0.0004362152928436558,2.8421257924875754e-05,2842.1257924875754,1.4143229226759883e-05,1414.3229226759884,1427.802869811587,4.974937197577679e-08,NR_110722,LINC01741,+,128132,NR_126001,LINC01645,+,-204989
chr1,178655018,178656291,178655972.0,40,8,11,0.0,2.812128307994044e-11,3.920173506879414e-05,3920.1735068794146,5.95504388495153e-06,595.504388495153,3324.6691183842618,0.0,NR_039622,MIR4424,+,21458,NM_001286247,RALGPS2,+,68856
chr1,180551925,180553241,180552656.0,24,14,14,1.3547623245457885e-08,0.0022180690560528182,2.3521041041276488e-05,2352.1041041276485,1.0421326798665176e-05,1042.1326798665177,1309.9714242611308,5.95382370542562e-05,NR_125716,OVAAL,+,5733,NM_032360,ACBD6,-,-49039
chr1,185823847,185825209,185824217.0,28,35,15,1.5595535973744745e-10,0.003703299454429154,2.74412145481559e-05,2744.12145481559,2.605331699666294e-05,2605.3316996662943,138.78975514929562,1.1017226983494485e-06,NM_031935,HMCN1,+,0,NR_110793,LINC01350,-,-195360
chr1,187312725,187313709,187313355.0,27,6,14,8.524203565229982e-11,2.684279396536482e-07,2.6461171171436047e-05,2646.117117143605,4.466282913713647e-06,446.62829137136475,2199.48882577224,6.417830836769056e-07,NR_126347,LINC01036,+,0,NR_132374,LINC01037,+,129919
chr1,188371328,188373521,188371915.0,43,20,30,0.0,2.9107957155716235e-09,4.214186519895371e-05,4214.186519895371,1.4887609712378825e-05,1488.7609712378824,2725.4255486574884,0.0,NR_132374,LINC01037,+,-894107,NR_126347,LINC01036,+,-1011085
chr1,200015777,200016916,200016263.0,26,15,10,1.1342918826429127e-09,0.0003727579202262854,2.5481127794716194e-05,2548.1127794716194,1.1165707284284118e-05,1116.5707284284117,1431.5420510432077,6.679967242809298e-06,NM_003822,NR5A2,+,10686,NM_001276464,NR5A2,+,25909
chr1,200433031,200433617,200433368.0,26,15,7,6.032451205228995e-10,0.0003896441617053936,2.5481127794716194e-05,2548.1127794716194,1.1165707284284118e-05,1116.5707284284117,1431.5420510432077,3.788028933792355e-06,NM_001281293,ZNF281,-,-22974,NR_040064,LINC00862,-,-59240
chr1,203913891,203914953,203914282.0,22,6,9,1.2411673278034385e-07,0.0005672621168001379,2.156095428783678e-05,2156.095428783678,4.466282913713647e-06,446.62829137136475,1709.4671374123131,0.00043601138953991105,NM_001304464,SNRPE,+,-42740,NM_001319238,ZC3H11A,+,-59764
chr1,207240702,207241777,207241391.0,34,10,5,2.220446049250313e-15,1.8297010362378074e-07,3.332147480847502e-05,3332.1474808475023,7.443804856189412e-06,744.3804856189412,2587.766995228561,4.0873234955337724e-11,NM_001300902,CD55,+,79695,NM_000715,C4BPA,+,-95731
chr1,215481476,215482685,215482233.0,24,8,16,8.97446150727177e-09,3.410490476862815e-05,2.3521041041276488e-05,2352.1041041276485,5.95504388495153e-06,595.504388495153,1756.5997156324956,4.214257985533215e-05,NM_001319294,KCTD3,+,84694,NM_206933,USH2A,-,140209
chr1,215487786,215490832,215489122.0,39,25,29,3.3306690738754696e-16,0.00029412970458841947,3.822169169207429e-05,3822.169169207429,1.860951214047353e-05,1860.951214047353,1961.2179551600761,7.20082159448064e-12,NM_001319294,KCTD3,+,76547,NM_206933,USH2A,-,132062
chr1,219872553,219873269,219873040.0,24,13,8,1.9155577124507772e-09,0.0025901057935645566,2.3521041041276488e-05,2352.1041041276485,9.676946313046236e-06,967.6946313046236,1384.4094728230248,1.0535705101910862e-05,NM_018713,SLC30A10,-,40995,NM_004446,EPRS,-,95331
chr1,220363956,220364499,220364226.0,24,1,4,1.0325625909857195e-09,4.414560828003289e-09,2.3521041041276488e-05,2352.1041041276485,7.443804856189412e-07,74.43804856189412,2277.6660555657545,6.159698596242814e-06,NM_012414,RAB3GAP2,-,-91456,NR_001587,AURKAPS1,-,-96242
chr1,223912007,223913059,223912784.0,27,13,5,4.812705789447591e-11,0.0043579363559778095,2.6461171171436047e-05,2646.117117143605,9.676946313046236e-06,967.6946313046236,1678.4224858389812,3.885556715085384e-07,NR_132119,GTF2IP20,-,38207,NM_001031685,TP53BP2,-,-66036
chr1,226114301,226114769,226114531.0,23,10,4,4.955947763285451e-09,0.0008144151913092035,2.2540997664556634e-05,2254.0997664556635,7.443804856189412e-06,744.3804856189412,1509.7192808367222,2.479006627279112e-05,NR_146920,LINC01703,+,-24013,NM_022735,ACBD3,-,29910
chr1,234684027,234685020,234684529.0,23,6,9,4.928997798803181e-08,1.5134381959547305e-05,2.2540997664556634e-05,2254.0997664556635,4.466282913713647e-06,446.62829137136475,1807.4714750842986,0.0001894747926872582,NR_125944,LOC101927787,+,-23104,NR_038856,LINC01132,+,39022
chr1,241361446,241362636,241362433.0,23,6,8,7.950558544855824e-09,2.981489369691115e-05,2.2540997664556634e-05,2254.0997664556635,4.466282913713647e-06,446.62829137136475,1807.4714750842986,3.7663923770592574e-05,NM_001282773,RGS7,-,-4217,NM_001350116,RGS7,-,-5621
chr10,338990,340050,339293.0,31,14,9,1.0191847366058937e-12,2.510962198243316e-05,3.0381344678315463e-05,3038.1344678315463,1.0421326798665176e-05,1042.1326798665177,1996.0017879650286,1.172550927781251e-08,NM_014974,DIP2C,-,0,NR_106988,MIR7641-2,-,-56905
chr10,1267508,1268843,1268174.0,33,4,11,1.7208456881689926e-14,5.3150372991694894e-11,3.234143143175517e-05,3234.143143175517,2.977521942475765e-06,297.7521942475765,2936.3909489279404,2.6909866460279995e-10,NM_018702,ADARB2,-,0,NR_015376,LINC00200,+,-102837
chr10,3330694,3331276,3330894.0,28,6,4,1.474820265912058e-11,2.9390201738976884e-07,2.74412145481559e-05,2744.12145481559,4.466282913713647e-06,446.62829137136475,2297.493163444225,1.3016165657626523e-07,NR_131187,LOC105376360,+,0,NM_014889,PITRM1,-,-157854
chr10,3692043,3692779,3692512.0,29,17,7,1.7657209028243415e-11,0.004078630360960567,2.8421257924875754e-05,2842.1257924875754,1.2654468255522001e-05,1265.4468255522002,1576.6789669353752,1.529029813049992e-07,NR_131187,LOC105376360,+,0,NM_001160124,KLF6,-,83217
chr10,3783523,3784722,3784012.0,34,19,12,1.6620038678638593e-13,0.0009923966153153607,3.332147480847502e-05,3332.1474808475023,1.4143229226759883e-05,1414.3229226759884,1917.824558171514,2.230784526546792e-09,NM_001160124,KLF6,-,0,NR_131187,LOC105376360,+,-32761
chr10,4280512,4281593,4281281.0,22,8,7,6.48240425782376e-08,0.0003489910357916681,2.156095428783678e-05,2156.095428783678,5.95504388495153e-06,595.504388495153,1560.5910402885252,0.0002416902904711401,NR_108040,LINC00702,-,-36601,NR_108054,LINC00703,+,102653
chr10,8084674,8085509,8084966.0,32,16,9,7.773781618425346e-13,4.012765898786519e-06,3.136138805503532e-05,3136.138805503532,1.191008776990306e-05,1191.008776990306,1945.1300285132259,9.14855623455171e-09,NM_001002295,GATA3,+,-9474,NR_024256,GATA3-AS1,-,-31191
chr10,8365753,8367205,8366462.0,48,38,13,0.0,8.5790557959875e-06,4.7042082082552975e-05,4704.208208255297,2.8286458453519766e-05,2828.6458453519767,1875.5623629033203,0.0,NR_108058,LINC00708,-,-97449,NR_134492,LOC105376398,-,205542
chr10,8725294,8728072,8727001.0,66,69,24,0.0,2.699527612559649e-08,6.468286286351034e-05,6468.286286351034,5.136225350770694e-05,5136.225350770695,1332.060935580339,0.0,NR_134492,LOC105376398,-,-130904,NR_131944,LOC105755953,+,169917
chr10,9036110,9037615,9037120.5,34,33,26,3.662944170201854e-09,1.9840109846458454e-05,3.332147480847502e-05,3332.1474808475023,2.456455602542506e-05,2456.455602542506,875.6918783049964,1.8819132215512566e-05,NR_131944,LOC105755953,+,-121515,NR_120635,LOC101928272,-,159751
