"Chr","Start","End","Center","Experiment.Insertions","Background.insertions","Reference.Insertions","pvalue.Reference","pvalue.Background","Fraction.Experiment","TPH.Experiment","Fraction.background","TPH.background","TPH.background.subtracted","pvalue_adj.Reference","Nearest.Refseq1","Gene.Name1","Direction1","Distance1","Nearest.Refseq2","Gene.Name2","Direction2","Distance2"
"chr10",87007415,87008839,87008619,44,35,7,0,0.00556801872709844,4.31219085756736e-05,4312.19085756736,2.60533169966629e-05,2605.33169966629,1706.85915790106,0,"NM_133447","AGAP11","+",0,"NM_001146157","FAM25A","+",11450
"chr10",103168083,103169532,103168695,90,81,21,0,9.72120989928271e-06,8.82039039047868e-05,8820.39039047868,6.02948193351342e-05,6029.48193351342,2790.90845696526,0,"NM_001351169","NT5C2","-",0,"NM_001351191","NT5C2","-",-14263
"chr10",115664074,115665482,115664902,67,140,20,0,0.00193755018729702,6.56629062402302e-05,6566.29062402302,0.000104213267986652,10421.3267986652,-3855.03617464216,0,"NM_207303","ATRNL1","+",0,"NM_001348099","GFRA1","-",391449
"chr11",17238253,17239566,17238784,46,25,11,0,0.00106700522256165,4.50819953291133e-05,4508.19953291133,1.86095121404735e-05,1860.95121404735,2647.24831886397,0,"NM_001321380","PIK3C2A","-",-30258,"NM_001352663","NUCB2","+",37148
"chr11",79059746,79060989,79060321,45,31,6,0,0.000786414897018028,4.41019519523934e-05,4410.19519523934,2.30757950541872e-05,2307.57950541872,2102.61568982062,0,"NM_001098816","TENM4","-",0,"NR_030598","MIR708","-",341033
"chr12",14819906,14820876,14820291,56,57,16,0,9.48326242924402e-05,5.48824290963118e-05,5488.24290963118,4.24296876802796e-05,4242.96876802796,1245.27414160321,0,"NM_175874","C12orf60","+",0,"NM_001013698","SMCO3","-",-5725
"chr12",21725672,21726653,21726237,39,29,10,0,1.38544002173946e-05,3.82216916920743e-05,3822.16916920743,2.15870340829493e-05,2158.70340829493,1663.4657609125,0,"NM_004982","KCNJ8","-",38302,"NM_001315537","LDHB","-",-67818
"chr12",53871484,53872528,53871952,42,25,9,0,2.935948261229e-05,4.11618218222338e-05,4116.18218222339,1.86095121404735e-05,1860.95121404735,2255.23096817603,0,"NR_047507","HOXC13-AS","-",62800,"NM_017410","HOXC13","+",66264
"chr12",63861992,63862776,63862396,39,14,5,0,8.96146316042845e-08,3.82216916920743e-05,3822.16916920743,1.04213267986652e-05,1042.13267986652,2780.03648934091,0,"NM_020762","SRGAP1","+",0,"NR_126167","TMEM5-AS1","-",-39837
"chr12",118059088,118060284,118059764,39,18,9,0,1.6137521681614e-05,3.82216916920743e-05,3822.16916920743,1.33988487411409e-05,1339.88487411409,2482.28429509334,0,"NM_001278558","WSB2","-",0,"NM_019086","VSIG10","-",3309
"chr13",35713829,35716812,35715053,51,11,21,0,2.98006064269885e-12,4.99822122127125e-05,4998.22122127125,8.18818534180835e-06,818.818534180835,4179.40268709042,0,"NR_132115","LINC00445","+",-14575,"NR_132116","LINC00445","+",-14829
"chr14",37566280,37567508,37567021,74,80,16,0,7.78403825762997e-06,7.25232098772692e-05,7252.32098772692,5.95504388495153e-05,5955.04388495153,1297.27710277539,0,"NM_001195297","MIPOL1","+",-15022,"NM_004496","FOXA1","-",22044
"chr14",61514006,61516133,61514938,49,16,14,0,7.45229433718464e-11,4.80221254592728e-05,4802.21254592728,1.19100877699031e-05,1191.00877699031,3611.20376893698,0,"NM_006255","PRKCH","+",0,"NR_110417","LOC101927780","-",40139
"chr14",68139862,68142533,68140506,81,30,31,0,3.33066907387547e-16,7.93835135143081e-05,7938.35135143081,2.23314145685682e-05,2233.14145685682,5705.20989457399,0,"NM_001321819","RAD51B","+",0,"NM_015346","ZFYVE26","-",-323274
"chr14",75282867,75283909,75283376,40,16,9,0,1.88580681873551e-05,3.92017350687941e-05,3920.17350687941,1.19100877699031e-05,1191.00877699031,2729.16472988911,0,"NM_005252","FOS","+",-634,"NR_038421","LINC01220","+",10495
"chr15",50205688,50206101,50205888,36,16,2,0,3.88087736580278e-06,3.52815615619147e-05,3528.15615619147,1.19100877699031e-05,1191.00877699031,2337.14737920117,0,"NM_003645","SLC27A2","+",0,"NM_002112","HDC","-",35848
"chr15",55357785,55358814,55358510,40,10,12,0,5.21935050734612e-10,3.92017350687941e-05,3920.17350687941,7.44380485618941e-06,744.380485618941,3175.79302126047,0,"NR_037923","DNAAF4-CCPG1","-",0,"NM_004855","PIGB","+",-2138
"chr15",71104299,71105287,71104837,46,35,10,0,0.00302295959220855,4.50819953291133e-05,4508.19953291133,2.60533169966629e-05,2605.33169966629,1902.86783324503,0,"NM_001102658","CT62","-",4957,"NM_024817","THSD4","+",36162
"chr15",95895223,95896503,95895693,41,40,12,0,0.000588884642707121,4.0181778445514e-05,4018.1778445514,2.97752194247576e-05,2977.52194247576,1040.65590207563,0,"NR_125738","NR2F2-AS1","-",230857,"NR_102743","NR2F2-AS1","-",369883
"chr15",98748597,98750073,98749214,58,65,19,0,0.000211164249289797,5.68425158497515e-05,5684.25158497515,4.83847315652312e-05,4838.47315652312,845.778428452033,0,"NM_000875","IGF1R","+",0,"NR_039864","MIR4714","+",34353
"chr15",100721424,100722923,100722313,41,26,7,0,0.00480345805889704,4.0181778445514e-05,4018.1778445514,1.93538926260925e-05,1935.38926260925,2082.78858194215,0,"NM_198243","ASB7","+",-69726,"NM_024708","ASB7","+",-91216
"chr16",71707682,71708714,71708187,44,19,6,0,2.13022999253631e-05,4.31219085756736e-05,4312.19085756736,1.41432292267599e-05,1414.32292267599,2897.86793489137,0,"NM_001289003","PHLPP2","-",0,"NR_033337","SNORA70D","-",-8982
"chr16",87789520,87790455,87789735,48,21,4,0,9.55883400588498e-06,4.7042082082553e-05,4704.2082082553,1.56319901979978e-05,1563.19901979978,3141.00918845552,0,"NR_120309","LOC102724467","-",-10373,"NM_001351937","KLHDC4","-",-23529
"chr17",58740898,58741634,58741118,49,23,5,0,6.43923536713942e-09,4.80221254592728e-05,4802.21254592728,1.71207511692356e-05,1712.07511692356,3090.13742900372,0,"NR_103872","RAD51C","+",-6557,"NM_014906","PPM1E","+",14235
"chr17",58900128,58901397,58900705,44,33,10,0,0.000514673482313044,4.31219085756736e-05,4312.19085756736,2.45645560254251e-05,2456.45560254251,1855.73525502485,0,"NM_014906","PPM1E","+",0,"NM_001320989","TRIM37","-",81242
"chr17",59093003,59095705,59094612,75,37,21,0,4.78428408001719e-12,7.3503253253989e-05,7350.3253253989,2.75420779679008e-05,2754.20779679008,4596.11752860882,0,"NM_001320989","TRIM37","-",0,"NM_001330399","SKA2","-",14154
"chr17",59832730,59833500,59833124,51,34,9,0,2.73996867997672e-05,4.99822122127125e-05,4998.22122127125,2.5308936511044e-05,2530.8936511044,2467.32757016685,0,"NM_001329397","VMP1","+",0,"NR_029493","MIR21","+",7766
"chr17",59844857,59846419,59845778,206,221,16,0,0.00128615274305821,0.00020188893560429,20188.893560429,0.000164508087321786,16450.8087321786,3738.08482825038,0,"NM_001329397","VMP1","+",-2603,"NR_029493","MIR21","+",-3521
"chr17",59855630,59856543,59855938,55,49,5,0,0.00440652193853075,5.39023857195919e-05,5390.23857195919,3.64746437953281e-05,3647.46437953281,1742.77419242638,0,"NM_001193610","TUBD1","-",2937,"NM_001329397","VMP1","+",-13376
"chr17",60030854,60031476,60031092,64,48,4,0,2.53266406429198e-05,6.27227761100706e-05,6272.27761100706,3.57302633097092e-05,3573.02633097092,2699.25128003615,0,"NR_039890","MIR4737","-",11549,"NM_022070","HEATR6","-",11715
"chr17",60115068,60115690,60115449,52,48,4,0,0.00804163740312758,5.09622555894324e-05,5096.22555894324,3.57302633097092e-05,3573.02633097092,1523.19922797232,0,"NR_027408","LOC653653","-",-12150,"NR_135648","LOC105371849","+",-26377
"chr17",60567361,60568518,60568041,53,24,13,0,9.19952991562667e-09,5.19422989661522e-05,5194.22989661522,1.78651316548546e-05,1786.51316548546,3407.71673112976,0,"NR_126009","LINC01999","+",0,"NM_003620","PPM1D","+",31665
"chr17",61230645,61231758,61231298,78,72,7,0,0.00590417179658687,7.64433833841486e-05,7644.33833841486,5.35953949645638e-05,5359.53949645638,2284.79884195848,0,"NM_001353146","BCAS3","+",0,"NR_136397","LOC101927855","-",129910
"chr17",61289911,61290921,61290196,52,38,10,0,0.000353280375346654,5.09622555894324e-05,5096.22555894324,2.82864584535198e-05,2828.64584535198,2267.57971359126,0,"NM_001353146","BCAS3","+",0,"NR_136397","LOC101927855","-",70747
"chr17",61360113,61361506,61360713,74,47,13,0,7.03736589002801e-08,7.25232098772692e-05,7252.32098772692,3.49858828240902e-05,3498.58828240902,3753.73270531789,0,"NM_001353146","BCAS3","+",0,"NR_136397","LOC101927855","-",162
"chr17",61722546,61724027,61723257,209,201,25,0,1.63265280561653e-06,0.000204829065734449,20482.9065734449,0.000149620477609407,14962.0477609407,5520.85881250422,0,"NM_032043","BRIP1","-",0,"NM_199290","NACA2","-",-131345
"chr17",61724911,61726217,61725214,93,96,16,0,0.00682755014023373,9.11440340349464e-05,9114.40340349464,7.14605266194184e-05,7146.05266194184,1968.3507415528,0,"NM_032043","BRIP1","-",0,"NM_199290","NACA2","-",-133710
"chr17",62804339,62805615,62805223,49,33,10,0,0.00102127114464834,4.80221254592728e-05,4802.21254592728,2.45645560254251e-05,2456.45560254251,2345.75694338478,0,"NM_001100875","MARCH10","-",0,"NR_135634","LOC101927877","+",2887
"chr17",62888083,62889624,62888544,53,29,13,0,9.08321212100827e-06,5.19422989661522e-05,5194.22989661522,2.15870340829493e-05,2158.70340829493,3035.52648832029,0,"NR_135634","LOC101927877","+",-51713,"NR_030363","MIR633","+",54591
"chr18",1905680,1908338,1906617.5,80,44,30,0,7.35805050222638e-09,7.84034701375883e-05,7840.34701375883,3.27527413672334e-05,3275.27413672334,4565.07287703549,0,"NR_023925","LINC00470","-",-546052,"NM_001308401","METTL4","-",629187
"chr18",62485349,62487216,62486108,49,17,13,0,5.47869527522948e-11,4.80221254592728e-05,4802.21254592728,1.2654468255522e-05,1265.4468255522,3536.76572037508,0,"NM_017742","ZCCHC2","+",36209,"NM_001278268","TNFRSF11A","+",-97640
"chr2",11498705,11499816,11498977.5,54,48,9,0,0.000129484459825302,5.29223423428721e-05,5292.23423428721,3.57302633097092e-05,3573.02633097092,1719.20790331629,0,"NM_001278275","E2F6","-",-32529,"NM_014668","GREB1","+",34300
"chr2",141501478,141502763,141502359,43,55,12,0,6.69544045668324e-05,4.21418651989537e-05,4214.18651989537,4.09409267090418e-05,4094.09267090418,120.093848991195,0,"NM_018557","LRP1B","-",0,"NR_106979","MIR7157","-",-914794
"chr2",158723367,158725908,158725071,37,18,8,0,5.64842721819669e-05,3.62616049386346e-05,3626.16049386346,1.33988487411409e-05,1339.88487411409,2286.27561974936,0,"NR_135242","PKP4-AS1","-",0,"NM_001304969","PKP4","+",-41940
"chr2",160227921,160229338,160228392,45,36,14,0,0.00349378535169387,4.41019519523934e-05,4410.19519523934,2.67976974822819e-05,2679.76974822819,1730.42544701115,0,"NM_000888","ITGB6","-",-27609,"NR_103775","LINC02478","-",28381
"chr2",200786041,200786915,200786519,62,27,10,0,5.0708626186946e-10,6.07626893566309e-05,6076.26893566309,2.00982731117114e-05,2009.82731117114,4066.44162449195,0,"NR_135011","AOX3P-AOX2P","+",0,"NM_001207067","BZW1","+",24631
"chr2",209495068,209496585,209496309,38,14,11,0,1.04276822177063e-07,3.72416483153544e-05,3724.16483153544,1.04213267986652e-05,1042.13267986652,2682.03215166893,0,"NM_001039538","MAP2","+",0,"NM_002374","MAP2","+",83094
"chr20",47455081,47456422,47455496,77,61,7,0,0.00200018279478575,7.54633400074287e-05,7546.33400074287,4.54072096227554e-05,4540.72096227554,3005.61303846733,0,"NR_146496","LINC01754","-",-42938,"NR_146495","LINC01754","-",-43688
"chr20",47492925,47494047,47493361,60,45,8,0,0.00206663153250486,5.88026026031912e-05,5880.26026031912,3.34971218528524e-05,3349.71218528524,2530.54807503389,0,"NM_001174087","NCOA3","+",7810,"NR_146496","LINC01754","-",-80782
"chr20",47791576,47792309,47792071,48,33,5,0,0.00256670185821339,4.7042082082553e-05,4704.2082082553,2.45645560254251e-05,2456.45560254251,2247.75260571279,0,"NM_198596","SULF2","-",-4961,"NM_018837","SULF2","-",-5513
"chr20",48064666,48065994,48065276,83,45,15,0,1.89716149356922e-06,8.13436002677478e-05,8134.36002677479,3.34971218528524e-05,3349.71218528524,4784.64784148955,0,"NR_110027","LINC01522","-",-74550,"NR_109942","LINC01523","+",-80354
"chr20",48863714,48865108,48864897,42,13,6,0,7.40931488829588e-07,4.11618218222338e-05,4116.18218222339,9.67694631304624e-06,967.694631304624,3148.48755091876,0,"NM_020820","PREX1","-",-35832,"NM_006420","ARFGEF2","+",56630
"chr20",50726922,50728459,50727576,115,87,13,0,0.00045649698534489,0.000112704988322783,11270.4988322783,6.47611022488479e-05,6476.11022488479,4794.38860739353,0,"NM_032521","PARD6B","+",3085,"NM_001290268","RIPOR3","-",-35393
"chr20",50798171,50799631,50799210,55,26,9,0,9.83980435242948e-07,5.39023857195919e-05,5390.23857195919,1.93538926260925e-05,1935.38926260925,3454.84930934995,0,"NM_017843","BCAS4","+",0,"NM_032521","PARD6B","+",-44431
"chr20",51910293,51911615,51910902,50,33,13,0,0.00160596828019366,4.90021688359927e-05,4900.21688359927,2.45645560254251e-05,2456.45560254251,2443.76128105676,0,"NR_110016","LINC01429","-",-47381,"NM_001318031","SALL4","-",-107771
"chr20",51984622,51985760,51985314,66,46,14,0,0.000429150542182399,6.46828628635103e-05,6468.28628635103,3.42415023384713e-05,3424.15023384713,3044.1360525039,0,"NM_199427","ZFP64","-",98251,"NR_110016","LINC01429","-",-121710
"chr20",53642363,53643443,53642828,72,69,8,0,0.00414746287939549,7.05631231238295e-05,7056.31231238295,5.13622535077069e-05,5136.22535077069,1920.08696161225,0,"NR_134576","LOC105372672","+",-7774,"NM_006526","ZNF217","-",-59267
"chr20",53786107,53787582,53786561,129,132,10,0,0.00321904337873913,0.000126425595596861,12642.5595596861,9.82582241017002e-05,9825.82241017002,2816.73714951609,0,"NR_002189","SUMO1P1","-",86919,"NR_134576","LOC105372672","+",-151518
"chr20",53800662,53802064,53801190,69,52,9,0,3.66727306165826e-05,6.76229929936699e-05,6762.29929936699,3.87077852521849e-05,3870.77852521849,2891.5207741485,0,"NR_002189","SUMO1P1","-",72437,"NM_001323347","BCAS1","-",141474
"chr20",54067444,54071336,54069392,110,63,14,0,1.87072579649339e-13,0.000107804771439184,10780.4771439184,4.68959705939933e-05,4689.59705939933,6090.88008451906,0,"NM_001316361","BCAS1","-",0,"NM_001323347","BCAS1","-",-8425
"chr20",54194696,54197066,54195413,83,28,17,0,0,8.13436002677478e-05,8134.36002677479,2.08426535973304e-05,2084.26535973304,6050.09466704175,0,"NM_002623","PFDN4","+",10897,"NM_001128915","CYP24A1","-",-20720
"chr20",59986980,59988337,59988035,53,36,12,0,1.91921436631937e-07,5.19422989661522e-05,5194.22989661522,2.67976974822819e-05,2679.76974822819,2514.46014838704,0,"NM_177980","CDH26","+",0,"NM_001348204","CDH26","+",8025
"chr21",39592931,39594035,39593765,42,16,16,0,1.22271365810001e-07,4.11618218222338e-05,4116.18218222339,1.19100877699031e-05,1191.00877699031,2925.17340523308,0,"NR_026542","B3GALT5-AS1","-",3113,"NR_026543","B3GALT5-AS1","-",11571
"chr21",40324038,40325328,40324769,70,114,11,0,0.00199918866874516,6.86030363703898e-05,6860.30363703898,8.48593753605593e-05,8485.93753605593,-1625.63389901695,0,"NM_001271534","DSCAM","-",0,"NR_038900","DSCAM-AS1","+",57755
"chr21",40367285,40368481,40367961,43,47,11,0,3.27278464230529e-05,4.21418651989537e-05,4214.18651989537,3.49858828240902e-05,3498.58828240902,715.598237486347,0,"NM_001271534","DSCAM","-",0,"NR_038900","DSCAM-AS1","+",14602
"chr22",15771821,15774624,15772749,53,27,16,0,8.29887270015206e-11,5.19422989661522e-05,5194.22989661522,2.00982731117114e-05,2009.82731117114,3184.40258544408,0,"NR_132385","LINC01297","+",0,"NR_122113","DUXAP8","+",10330
"chr3",61626824,61628419,61627776,85,43,18,0,1.8627840603358e-08,8.33036870211876e-05,8330.36870211876,3.20083608816145e-05,3200.83608816145,5129.53261395731,0,"NM_002841","PTPRG","+",0,"NM_002012","FHIT","-",-375364
"chr3",62006113,62007533,62007139,52,14,19,0,2.38897790438841e-12,5.09622555894324e-05,5096.22555894324,1.04213267986652e-05,1042.13267986652,4054.09287907672,0,"NM_002841","PTPRG","+",0,"NR_038281","PTPRG-AS1","-",254286
"chr3",107986221,107989182,107987035,83,35,20,0,3.23074900165921e-14,8.13436002677478e-05,8134.36002677479,2.60533169966629e-05,2605.33169966629,5529.02832710849,0,"NM_001777","CD47","-",53912,"NR_015394","LINC00636","+",-57316
"chr3",121942186,121943044,121942659,46,35,15,0,0.00025062401621101,4.50819953291133e-05,4508.19953291133,2.60533169966629e-05,2605.33169966629,1902.86783324503,0,"NM_001145998","SLC15A2","+",0,"NM_001199799","ILDR1","-",44279
"chr3",153138268,153139413,153139128,39,18,6,0,1.05429356852538e-05,3.82216916920743e-05,3822.16916920743,1.33988487411409e-05,1339.88487411409,2482.28429509334,0,"NM_002886","RAP2B","+",22799,"NR_146713","LINC02006","-",244137
"chr3",158725130,158727546,158725484.5,40,29,18,0,8.71481868971458e-05,3.92017350687941e-05,3920.17350687941,2.15870340829493e-05,2158.70340829493,1761.47009858449,0,"NM_206963","RARRES1","-",0,"NM_001308164","GFM1","+",-32560
"chr3",161290591,161291457,161291221,52,50,6,0,4.59094646487745e-06,5.09622555894324e-05,5096.22555894324,3.72190242809471e-05,3721.90242809471,1374.32313084853,0,"NM_001320227","NMD3","+",-37060,"NM_015938","NMD3","+",-38585
"chr3",168870137,168871522,168870949,38,26,14,0,0.00903573037492567,3.72416483153544e-05,3724.16483153544,1.93538926260925e-05,1935.38926260925,1788.7755689262,0,"NR_109989","LINC02082","+",30423,"NR_021485","EGFEM1P","+",-39552
"chr3",190585651,190586813,190586364,71,22,8,0,2.22044604925031e-16,6.95830797471096e-05,6958.30797471096,1.63763706836167e-05,1637.63706836167,5320.67090634929,0,"NM_001167930","IL1RAP","+",0,"NM_207316","TMEM207","-",-135776
"chr4",39539503,39540798,39540296,51,42,14,0,0.000150406551594151,4.99822122127125e-05,4998.22122127125,3.12639803959955e-05,3126.39803959955,1871.8231816717,0,"NR_047679","UGDH-AS1","+",0,"NM_001317897","SMIM14","-",6499
"chr4",142614511,142616024,142615483,72,95,20,0,0.00192777522266441,7.05631231238295e-05,7056.31231238295,7.07161461337994e-05,7071.61461337994,-15.3023009969947,0,"NM_001101669","INPP4B","-",0,"NR_136203","LOC105377623","-",561636
"chr4",156305284,156306115,156305514,38,17,6,0,2.98969532452897e-06,3.72416483153544e-05,3724.16483153544,1.2654468255522e-05,1265.4468255522,2458.71800598324,0,"NM_001334","CTSO","-",-351389,"NM_005651","TDO2","+",-384879
"chr4",160658699,160659229,160658996,40,17,4,0,1.1181644499203e-10,3.92017350687941e-05,3920.17350687941,1.2654468255522e-05,1265.4468255522,2654.72668132721,0,"NM_001128427","FSTL5","-",724663,"NR_146278","LINC02233","-",-880916
"chr4",171203039,171203995,171203672,40,18,11,0,7.132859836112e-08,3.92017350687941e-05,3920.17350687941,1.33988487411409e-05,1339.88487411409,2580.28863276532,0,"NR_106730","MIR6082","+",-16748,"NR_038838","LINC02431","+",-143880
"chr5",19734400,19735453,19734934,53,38,10,0,1.46735442752011e-06,5.19422989661522e-05,5194.22989661522,2.82864584535198e-05,2828.64584535198,2365.58405126325,0,"NM_001349559","CDH18","-",0,"NR_146519","CDH18-AS1","+",570098
"chr5",57334306,57335640,57335269,41,13,10,0,7.52137424475663e-06,4.0181778445514e-05,4018.1778445514,9.67694631304624e-06,967.694631304624,3050.48321324678,0,"NM_022913","GPBP1","+",-69628,"NM_001017992","ACTBL2","-",144376
"chr5",103014060,103015543,103015163,53,22,19,0,2.08906418830423e-08,5.19422989661522e-05,5194.22989661522,1.63763706836167e-05,1637.63706836167,3556.59282825355,0,"NM_001319943","PAM","+",0,"NR_134299","GIN1","-",70457
"chr5",103408931,103409758,103409269,39,15,8,0,1.39290680101212e-07,3.82216916920743e-05,3822.16916920743,1.11657072842841e-05,1116.57072842841,2705.59844077902,0,"NR_104670","LINC02115","-",118676,"NM_033211","C5orf30","+",-130272
"chr5",146027389,146028295,146027936,39,13,6,0,3.56900664577608e-09,3.82216916920743e-05,3822.16916920743,9.67694631304624e-06,967.694631304624,2854.47453790281,0,"NM_152550","SH3RF2","+",0,"NM_001029869","PLAC8L1","-",56018
"chr5",173535003,173536148,173535774,59,56,7,0,5.72818854371882e-06,5.78225592264714e-05,5782.25592264714,4.16853071946607e-05,4168.53071946607,1613.72520318107,0,"NR_027109","LOC285593","+",43486,"NM_138369","BOD1","-",70997
"chr6",8082901,8084449,8083444,46,29,17,0,0.00227906182272819,4.50819953291133e-05,4508.19953291133,2.15870340829493e-05,2158.70340829493,2349.4961246164,0,"NR_037618","EEF1E1-BLOC1S5","-",0,"NR_003703","SCARNA27","-",1959
"chr6",16765943,16770073,16767322,91,48,38,0,2.30039154391903e-09,8.91839472815067e-05,8918.39472815067,3.57302633097092e-05,3573.02633097092,5345.36839717975,0,"NR_136240","LOC101928433","+",0,"NM_000332","ATXN1","-",-4454
"chr6",81787144,81788504,81787796,52,18,15,0,1.57573432080227e-09,5.09622555894324e-05,5096.22555894324,1.33988487411409e-05,1339.88487411409,3756.34068482914,0,"NR_126363","LINC01526","-",24782,"NM_017633","FAM46A","-",-34434
"chr6",83089475,83090772,83090277,41,12,21,0,5.74988945345467e-10,4.0181778445514e-05,4018.1778445514,8.93256582742729e-06,893.25658274273,3124.92126180867,0,"NM_015018","DOPEY1","+",0,"NR_146809","UBE3D","-",-23635
"chr6",109877471,109878792,109878241,56,44,22,0,0.00192309999652451,5.48824290963118e-05,5488.24290963118,3.27527413672334e-05,3275.27413672334,2212.96877290784,0,"NM_014845","FIG4","+",-52041,"NM_001286099","GPR6","+",99464
"chr6",126040573,126042863,126041236,46,12,26,0,1.81521464526213e-13,4.50819953291133e-05,4508.19953291133,8.93256582742729e-06,893.25658274273,3614.9429501686,0,"NR_146799","TRMT11","+",0,"NM_001350589","TRMT11","+",-1300
"chr6",135210231,135212860,135211566,78,47,27,0,2.47716624990346e-10,7.64433833841486e-05,7644.33833841486,3.49858828240902e-05,3498.58828240902,4145.75005600583,0,"NR_134958","MYB","+",0,"NR_030317","MIR548A2","+",26300
